¿œ,¿Ø¡æ,WTI
2020-11-20,,42.15
2020-11-23,,43.06
2020-11-24,,44.91
2020-11-25,,45.71
2020-11-27,,45.53
2020-11-30,,45.34
2020-12-01,,44.55
2020-12-02,,45.28
2020-12-03,,45.64
2020-12-04,,46.26
2020-12-07,,45.76
2020-12-08,,45.6
2020-12-09,,45.52
2020-12-10,,46.78
2020-12-11,,46.57
2020-12-14,,46.99
2020-12-15,,47.62
2020-12-16,,47.82
2020-12-17,,48.36
2020-12-18,,49.1
2020-12-21,,47.74
2020-12-22,,47.02
2020-12-23,,48.12
2020-12-24,,48.23
2020-12-28,,47.62
2020-12-29,,48
2020-12-30,,48.4
2020-12-31,,48.52
2021-01-04,,47.62
2021-01-05,,49.93
2021-01-06,,50.63
2021-01-07,,50.83
2021-01-08,,52.24
2021-01-11,,52.25
2021-01-12,,53.21
2021-01-13,,52.91
2021-01-14,,53.57
2021-01-15,,52.36
2021-01-19,,52.98
2021-01-20,,53.24
2021-01-21,,53.13
2021-01-22,,52.27
2021-01-25,,52.77
2021-01-26,,52.61
2021-01-27,,52.85
2021-01-28,,52.34
2021-01-29,,52.2
2021-02-01,,53.55
2021-02-02,,54.76
2021-02-03,,55.69
2021-02-04,,56.23
2021-02-05,,56.85
2021-02-08,,57.97
2021-02-09,,58.36
2021-02-10,,58.68
2021-02-11,,58.24
2021-02-12,,59.47
2021-02-16,,60.05
2021-02-17,,61.14
2021-02-18,,60.52
2021-02-19,,59.24
2021-02-22,,61.49
2021-02-23,,61.67
2021-02-24,,63.22
2021-02-25,,63.53
2021-02-26,,61.5
2021-03-01,,60.64
2021-03-02,,59.75
2021-03-03,,61.28
2021-03-04,,63.83
2021-03-05,,66.09
2021-03-08,,65.05
2021-03-09,,64.01
2021-03-10,,64.44
2021-03-11,,66.02
2021-03-12,,65.61
2021-03-15,,65.39
2021-03-16,,64.8
2021-03-17,,64.6
2021-03-18,,60
2021-03-19,,61.42
2021-03-22,,61.55
2021-03-23,,57.76
2021-03-24,,61.18
2021-03-25,,58.56
2021-03-26,,60.97
2021-03-29,,61.56
2021-03-30,,60.55
2021-03-31,,59.16
2021-04-01,,61.45
2021-04-05,,58.65
2021-04-06,,59.33
2021-04-07,,59.77
2021-04-08,,59.6
2021-04-09,,59.32
2021-04-12,,59.7
2021-04-13,,60.18
2021-04-14,,63.15
2021-04-15,,63.46
2021-04-16,,63.13
2021-04-19,,63.38
2021-04-20,,62.44
2021-04-21,,61.35
2021-04-22,,61.43
2021-04-23,,62.14
2021-04-26,,61.91
2021-04-27,,62.94
2021-04-28,,63.86
2021-04-29,,65.01
2021-04-30,,63.58
2021-05-03,,64.49
2021-05-04,,65.69
2021-05-05,,65.63
2021-05-06,,64.71
2021-05-07,,64.9
2021-05-10,,64.92
2021-05-11,,65.28
2021-05-12,,66.08
2021-05-13,,63.82
2021-05-14,,65.37
2021-05-17,,66.27
2021-05-18,,65.49
2021-05-19,,63.36
2021-05-20,,62.05
2021-05-21,,63.58
2021-05-24,,66.05
2021-05-25,,66.07
2021-05-26,,66.21
2021-05-27,,66.85
2021-05-28,,66.32
2021-06-01,,67.72
2021-06-02,,68.83
2021-06-03,,68.81
2021-06-04,,69.62
2021-06-07,,69.23
2021-06-08,,70.05
2021-06-09,,69.96
2021-06-10,,70.29
2021-06-11,,70.91
2021-06-14,,70.88
2021-06-15,,72.12
2021-06-16,,72.15
2021-06-17,,71.04
2021-06-18,,71.64
2021-06-21,,73.66
2021-06-22,,73.06
2021-06-23,,73.08
2021-06-24,,73.3
2021-06-25,,74.05
2021-06-28,,72.91
2021-06-29,,72.98
2021-06-30,,73.47
2021-07-01,,75.23
2021-07-02,,75.16
2021-07-06,,73.37
2021-07-07,,72.2
2021-07-08,,72.94
2021-07-09,,74.56
2021-07-12,,74.1
2021-07-13,,75.25
2021-07-14,,73.13
2021-07-15,,71.65
2021-07-16,,71.81
2021-07-19,,66.42
2021-07-20,,67.42
2021-07-21,,70.3
2021-07-22,,71.91
2021-07-23,,72.07
2021-07-26,,71.91
2021-07-27,,71.65
2021-07-28,,72.39
2021-07-29,,73.62
2021-07-30,,73.95
2021-08-02,,71.26
2021-08-03,,70.56
2021-08-04,,68.15
2021-08-05,,69.09
2021-08-06,,68.28
2021-08-09,,66.48
2021-08-10,,68.29
2021-08-11,,69.25
2021-08-12,,69.09
2021-08-13,,68.44
2021-08-16,,67.29
2021-08-17,,66.59
2021-08-18,,65.46
2021-08-19,,63.69
2021-08-20,,62.32
2021-08-23,,65.64
2021-08-24,,67.54
2021-08-25,,68.36
2021-08-26,,67.42
2021-08-27,,68.74
2021-08-30,,69.21
2021-08-31,,68.5
2021-09-01,,68.59
2021-09-02,,69.99
2021-09-03,,69.29
2021-09-07,,68.35
2021-09-08,,69.3
2021-09-09,,68.14
2021-09-10,,69.72
2021-09-13,,70.45
2021-09-14,,70.46
2021-09-15,,72.61
2021-09-16,,72.61
2021-09-17,,71.97
2021-09-20,,70.29
2021-09-21,,70.56
2021-09-22,,72.23
2021-09-23,,73.3
2021-09-24,,73.98
2021-09-27,,75.45
2021-09-28,,75.29
2021-09-29,,74.83
2021-09-30,,75.03
2021-10-01,,75.88
2021-10-04,,77.62
2021-10-05,,78.93
2021-10-06,,77.43
2021-10-07,,78.3
2021-10-08,,79.35
2021-10-11,,80.52
2021-10-12,,80.64
2021-10-13,,80.44
2021-10-14,,81.31
2021-10-15,,82.28
2021-10-18,,82.44
2021-10-19,,82.96
2021-10-20,,83.87
2021-10-21,,82.5
2021-10-22,,83.76
2021-10-25,,83.76
2021-10-26,,84.65
2021-10-27,,82.66
2021-10-28,,82.81
2021-10-29,,83.57
2021-11-01,,84.05
2021-11-02,,83.91
2021-11-03,,80.86
2021-11-04,,78.81
2021-11-05,,81.27
2021-11-08,,81.93
2021-11-09,,84.15
2021-11-10,,81.34
2021-11-11,,81.59
2021-11-12,,80.79
2021-11-15,,80.88
2021-11-16,,80.76
2021-11-17,,78.36
2021-11-18,,79.01
2021-11-19,,76.1
2021-11-22,,76.75
2021-11-23,,78.5
2021-11-24,,78.39
2021-11-26,,68.15
2021-11-29,,69.95
2021-11-30,,66.18
2021-12-01,,65.57
2021-12-02,,66.5
2021-12-03,,66.26
2021-12-06,,69.49
2021-12-07,,72.05
2021-12-08,,72.36
2021-12-09,,70.94
2021-12-10,,71.67
,,0.73
,,5.41
,,-9.67
,,24.89
,,65.57
